x r i
-2.000000000000000000e+01 5.711484692272080986e-07 -1.277751048708857051e-06
-1.991983967935871647e+01 7.422653375235715138e-07 -1.357053866822053139e-06
-1.983967935871743649e+01 9.374128177904821979e-07 -1.428698526067888342e-06
-1.975951903807615295e+01 1.158177681072017723e-06 -1.489730907351475786e-06
-1.967935871743486942e+01 1.406013778621457666e-06 -1.536773102391869303e-06
-1.959919839679358589e+01 1.682188966113536890e-06 -1.565998276412772721e-06
-1.951903807615230590e+01 1.987724902458115184e-06 -1.573108626186960687e-06
-1.943887775551102237e+01 2.323329436760679955e-06 -1.553317423026397369e-06
-1.935871743486973884e+01 2.689321377116146179e-06 -1.501336241686716072e-06
-1.927855711422845530e+01 3.085547533446562430e-06 -1.411368587831927624e-06
-1.919839679358717532e+01 3.511292044964964174e-06 -1.277111246681085586e-06
-1.911823647294589179e+01 3.965178142421453390e-06 -1.091764781414165768e-06
-1.903807615230460826e+01 4.445062657254607487e-06 -8.480547092020058263e-07
-1.895791583166332828e+01 4.947923775116889747e-06 -5.382649723625513703e-07
-1.887775551102204474e+01 5.469742740686011926e-06 -1.542853988176069922e-07
-1.879759519038076121e+01 6.005380454614704262e-06 3.123250939144902069e-07
-1.871743486973947768e+01 6.548450161927970346e-06 8.702577574646847382e-07
-1.863727454909819770e+01 7.091187713715507975e-06 1.528353925705291401e-06
-1.855711422845691416e+01 7.624321189649464730e-06 2.295483788471761288e-06
-1.847695390781563063e+01 8.136941996156735245e-06 3.180402280952923801e-06
-1.839679358717435065e+01 8.616379901824476498e-06 4.191580431537670765e-06
-1.831663326653306711e+01 9.048084834929039785e-06 5.337010642664328956e-06
-1.823647294589178358e+01 9.415518644198017005e-06 6.623984560041770077e-06
-1.815631262525050005e+01 9.700060408545624794e-06 8.058842420496971980e-06
-1.807615230460922007e+01 9.880929269185572954e-06 9.646693062491825375e-06
-1.799599198396793653e+01 9.935129141914243007e-06 1.139110414062162082e-05
-1.791583166332665300e+01 9.837420041199722954e-06 1.329376251033259453e-05
-1.783567134268536947e+01 9.560321102757069863e-06 1.535410524532840183e-05
-1.775551102204408949e+01 9.074150718295826719e-06 1.756892232062592867e-05
-1.767535070140280595e+01 8.347109484880798412e-06 1.993193264109467948e-05
-1.759519038076152242e+01 7.345411910694513033e-06 2.243333581965823483e-05
-1.751503006012023889e+01 6.033472996887974923e-06 2.505934291106663296e-05
-1.743486973947895891e+01 4.374155918809984524e-06 2.779169018477924426e-05
-1.735470941883767537e+01 2.329087045663895299e-06 3.060714097100644768e-05
-1.727454909819639184e+01 -1.409555485511218381e-07 3.347698163255088239e-05
-1.719438877755511186e+01 -3.075574132612383656e-06 3.636651879507352792e-05
-1.711422845691382832e+01 -6.514198307773196375e-06 3.923458610096176733e-05
-1.703406813627254479e+01 -1.049544180285206108e-05 4.203306992604526239e-05
-1.695390781563126126e+01 -1.505636457783146374e-05 4.470646470052865604e-05
-1.687374749498998128e+01 -2.023163655290816248e-05 4.719146968969944935e-05
-1.679358717434869774e+01 -2.605260028057889660e-05 4.941664029764878026e-05
-1.671342685370741421e+01 -3.254623107733294426e-05 5.130210813715709733e-05
-1.663326653306613423e+01 -3.973399453873294407e-05 5.275938523712158881e-05
-1.655310621242485070e+01 -4.763060298482026751e-05 5.369126880885194566e-05
-1.647294589178356716e+01 -5.624267422709873358e-05 5.399186393510005985e-05
-1.639278557114228363e+01 -6.556729811603003518e-05 5.354674234923506723e-05
-1.631262525050100365e+01 -7.559051861770845664e-05 5.223325610273388833e-05
-1.623246492985972012e+01 -8.628574167498056407e-05 4.992102534137243846e-05
-1.615230460921843658e+01 -9.761208182205434014e-05 4.647261958681493725e-05
-1.607214428857715305e+01 -1.095126634281398892e-04 4.174445181214954110e-05
-1.599198396793587307e+01 -1.219128955249950281e-04 3.558790416806882916e-05
-1.591182364729458953e+01 -1.347187423999761098e-04 2.785070342148827937e-05
-1.583166332665330600e+01 -1.478150154786743659e-04 1.837856297163944903e-05
-1.575150300601202424e+01 -1.610637154416348627e-04 7.017106672548784783e-06
-1.567134268537074249e+01 -1.743024569734494906e-04 -6.385912420050179796e-06
-1.559118236472945895e+01 -1.873430119786100511e-04 -2.197808787732397366e-05
-1.551102204408817542e+01 -1.999700104589926923e-04 -3.989952295496229190e-05
-1.543086172344689366e+01 -2.119398414681884411e-04 -6.027967724582920399e-05
-1.535070140280561191e+01 -2.229797995671573235e-04 -8.323389758251206717e-05
-1.527054108216432837e+01 -2.327875249268034736e-04 -1.088596387200681237e-04
-1.519038076152304662e+01 -2.410307875734117751e-04 -1.372323847932262436e-04
-1.511022044088176486e+01 -2.473476681648851573e-04 -1.684012885873585347e-04
-1.503006012024048133e+01 -2.513471890276833894e-04 -2.023845522707247359e-04
-1.494989979959919779e+01 -2.526104498815672839e-04 -2.391645803774000722e-04
-1.486973947895791603e+01 -2.506923226350019442e-04 -2.786829434638307549e-04
-1.478957915831663428e+01 -2.451237587511954767e-04 -3.208351989316401498e-04
-1.470941883767535074e+01 -2.354147608671153583e-04 -3.654656239454098093e-04
-1.462925851703406721e+01 -2.210580675020198396e-04 -4.123619240920252632e-04
-1.454909819639278545e+01 -2.015335957293928957e-04 -4.612499903278220823e-04
-1.446893787575150370e+01 -1.763136815246844154e-04 -5.117887857255375844e-04
-1.438877755511022016e+01 -1.448691510679123824e-04 -5.635654524337159552e-04
-1.430861723446893841e+01 -1.066762485131725850e-04 -6.160907379500190359e-04
-1.422845691382765665e+01 -6.122443658828578264e-05 -6.687948481252663138e-04
-1.414829659318637312e+01 -8.025075825214114168e-06 -7.210238420812661517e-04
-1.406813627254508958e+01 5.337902376799238757e-05 -7.720366912541998554e-04
-1.398797595190380783e+01 1.234031981923940124e-04 -8.210031308665442177e-04
-1.390781563126252607e+01 2.024097064970548077e-04 -8.670024370750296699e-04
-1.382765531062124253e+01 2.906957398976189161e-04 -9.090232666236500387e-04
-1.374749498997995900e+01 3.884807308767793664e-04 -9.459646978284197080e-04
-1.366733466933867724e+01 4.958930486772666077e-04 -9.766386119123946115e-04
-1.358717434869739549e+01 6.129561870925804732e-04 -9.997735518754008715e-04
-1.350701402805611195e+01 7.395745707628056205e-04 -1.014020192009009629e-03
-1.342685370741483020e+01 8.755191270802505695e-04 -1.017958544649633134e-03
-1.334669338677354844e+01 1.020412792056044939e-03 -1.010107021611832438e-03
-1.326653306613226491e+01 1.173716139813974846e-03 -9.889334557900619424e-04
-1.318637274549098137e+01 1.334713346448619534e-03 -9.528681735142521727e-04
-1.310621242484969962e+01 1.502498719465787625e-03 -9.003191902764103071e-04
-1.302605210420841786e+01 1.675964043539190972e-03 -8.296895813296509660e-04
-1.294589178356713433e+01 1.853787011465957276e-03 -7.393970543554412994e-04
-1.286573146292585079e+01 2.034421025558633134e-03 -6.278957239013504893e-04
-1.278557114228456904e+01 2.216086668827172389e-03 -4.937000566620924642e-04
-1.270541082164328728e+01 2.396765156720474192e-03 -3.354109230167950104e-04
-1.262525050100200374e+01 2.574194088444374789e-03 -1.517436537092755407e-04
-1.254509018036072199e+01 2.745865821480079384e-03 5.844203860854253133e-05
-1.246492985971944023e+01 2.909028793427312267e-03 2.961104547663257619e-04
-1.238476953907815670e+01 3.060692111236147303e-03 5.620168467023861896e-04
-1.230460921843687316e+01 3.197633718838591588e-03 8.566731677058649986e-04
-1.222444889779559141e+01 3.316412439743500647e-03 1.180312951795075248e-03
-1.214428857715430965e+01 3.413384170954576659e-03 1.532855685402351479e-03
-1.206412825651302612e+01 3.484722478298820248e-03 1.913871081060879945e-03
-1.198396793587174436e+01 3.526443810660185446e-03 2.322543708496457512e-03
-1.190380761523046083e+01 3.534437511517113037e-03 2.757638482664225617e-03
-1.182364729458917907e+01 3.504500760481226839e-03 3.217467550031362800e-03
-1.174348697394789554e+01 3.432378525214044816e-03 3.699859152941207662e-03
-1.166332665330661378e+01 3.313808545244183688e-03 4.202129086312131681e-03
-1.158316633266533024e+01 3.144571304011529143e-03 4.721055390313142093e-03
-1.150300601202404849e+01 2.920544874233124873e-03 5.252856946084611886e-03
-1.142284569138276673e+01 2.637764444844965459e-03 5.793176658107126661e-03
-1.134268537074148320e+01 2.292486255877673480e-03 6.337069915541628483e-03
-1.126252505010020144e+01 1.881255581353025695e-03 6.878999024878961963e-03
-1.118236472945891791e+01 1.400978310455739447e-03 7.412834296697233712e-03
-1.110220440881763615e+01 8.489955847843203181e-04 7.931862449443301613e-03
-1.102204408817635262e+01 2.231608554866267133e-04 8.428802962224188344e-03
-1.094188376753507086e+01 -4.780813702625618679e-04 8.895832966001767511e-03
-1.086172344689378733e+01 -1.255615917373498853e-03 9.324621207838638612e-03
-1.078156312625250557e+01 -2.109577380481387782e-03 9.706371555580932051e-03
-1.070140280561122204e+01 -3.039271613166269568e-03 1.003187643037936616e-02
-1.062124248496994028e+01 -4.043099352426002095e-03 1.029158046170100711e-02
-1.054108216432865852e+01 -5.118483136549533026e-03 1.047565455411774392e-02
-1.046092184368737499e+01 -6.261798740157913969e-03 1.057408043751525105e-02
-1.038076152304609323e+01 -7.468312405226901901e-03 1.057674564300387261e-02
-1.030060120240480970e+01 -8.732125189654273492e-03 1.047354870650483126e-02
-1.022044088176352794e+01 -1.004612578369488279e-02 1.025451425173542347e-02
-1.014028056112224441e+01 -1.140195315772657772e-02 9.909917445361406466e-03
-1.006012024048096265e+01 -1.278997040077766920e-02 9.430417150893551093e-03
-9.979959919839679117e+00 -1.419925108662038402e-02 8.807196936178762758e-03
-9.899799599198397360e+00 -1.561757946172812918e-02 8.032112914001323517e-03
-9.819639278557113826e+00 -1.703146568591770021e-02 7.097847218504310142e-03
-9.739478957915832069e+00 -1.842617727115930526e-02 5.998065744208479905e-03
-9.659318637274550312e+00 -1.978578775620424071e-02 4.727578601861985239e-03
-9.579158316633266779e+00 -2.109324352397799751e-02 3.282501578881805507e-03
-9.498997995991985022e+00 -2.233044951505571210e-02 1.660416734550588386e-03
-9.418837675350701488e+00 -2.347837441423218305e-02 -1.394698856818508330e-04
-9.338677354709419731e+00 -2.451717568882852763e-02 -2.116175563505325388e-03
-9.258517034068136198e+00 -2.542634463791676805e-02 -4.266795508702433785e-03
-9.178356713426854441e+00 -2.618487137244024029e-02 -6.586367100396318952e-03
-9.098196392785570907e+00 -2.677142938900845329e-02 -9.067746190243147417e-03
-9.018036072144289150e+00 -2.716457912707726657e-02 -1.170149793181408590e-02
-8.937875751503005617e+00 -2.734298961281743032e-02 -1.447580461398765943e-02
-8.857715430861723860e+00 -2.728567699612817130e-02 -1.737639295831246850e-02
-8.777555110220442103e+00 -2.697225848324139377e-02 -2.038648328887767217e-02
-8.697394789579158569e+00 -2.638321985980270068e-02 -2.348676289641382642e-02
-8.617234468937876812e+00 -2.550019449214162293e-02 -2.665538579470446562e-02
-8.537074148296593279e+00 -2.430625139186964184e-02 -2.986800090588332540e-02
-8.456913827655311522e+00 -2.278618963542623083e-02 -3.309781051125909590e-02
-8.376753507014027988e+00 -2.092683615037095948e-02 -3.631566056589719677e-02
-8.296593186372746231e+00 -1.871734361887615258e-02 -3.949016419876422157e-02
-8.216432865731462698e+00 -1.614948501085644236e-02 -4.258785940687674632e-02
-8.136272545090180941e+00 -1.321794104934389050e-02 -4.557340160322144451e-02
-8.056112224448897408e+00 -9.920576733866950242e-03 -4.840979129651042795e-02
-7.975951903807615651e+00 -6.258702908384258107e-03 -5.105863676896375131e-02
-7.895791583166333893e+00 -2.237318763187125768e-03 -5.348045117979131902e-02
